Exp_name,Enemy,Run,Gen,Mean_fit,Max_fit
ea25,6,0,0,-2.028956104561078,39.3062678611973
ea25,6,0,1,0.8107235482617687,39.53193985886487
ea25,6,0,2,4.99247905034197,39.53193985886487
ea25,6,0,3,9.041390088480462,39.53193985886487
ea25,6,0,4,13.518308058938773,39.55326262833369
ea25,6,0,5,17.18215232358174,66.45092391510478
ea25,6,0,6,20.498287904497378,75.19788162462294
ea25,6,0,7,25.970431794109523,75.19788162462294
ea25,6,0,8,28.494931026267388,75.19788162462294
ea25,6,0,9,31.162980913663972,75.19788162462294
ea25,6,0,10,33.9399260725185,75.37598249381266
ea25,6,0,11,35.98981042645962,88.95616819497442
ea25,6,0,12,41.21988884811364,88.95616819497442
ea25,6,0,13,42.41844591105619,88.95616819497442
ea25,6,0,14,41.26952828055294,88.95616819497442
ea25,6,0,15,38.57219709658981,88.95616819497442
ea25,6,0,16,41.911152218234385,88.95616819497442
ea25,6,0,17,42.52391592436954,88.95616819497442
ea25,6,0,18,43.336047853057956,88.95616819497442
ea25,6,0,19,43.67933635369269,88.95616819497442
ea25,6,0,20,46.1585063770164,88.95616819497442
ea25,6,0,21,47.388910114950214,88.95616819497442
ea25,6,0,22,48.319025420038905,88.95616819497442
ea25,6,0,23,44.85968163465028,88.95616819497442
ea25,6,0,24,48.347149282147576,88.95616819497442
ea25,6,0,25,47.70216528690138,88.95616819497442
ea25,6,0,26,48.85456249455341,88.95616819497442
ea25,6,0,27,48.71080792066741,88.95616819497442
ea25,6,0,28,48.25320380266585,88.95616819497442
ea25,6,0,29,53.2946923202964,88.95616819497442
ea25,6,0,30,52.53039179193323,88.95616819497442
ea25,6,0,31,52.955287868766774,88.95616819497442
ea25,6,0,32,50.37344859194652,88.95616819497442
ea25,6,0,33,52.4055257139637,88.95616819497442
ea25,6,0,34,52.841468966703786,88.95616819497442
ea25,6,0,35,51.32148955321081,88.95616819497442
ea25,6,0,36,54.96731259091787,88.95616819497442
ea25,6,0,37,57.0698543307392,88.95616819497442
ea25,6,0,38,57.00116425553531,88.95616819497442
ea25,6,0,39,57.588422780165544,88.95616819497442
ea25,6,0,40,55.30455105140434,88.95616819497442
