Exp_name,Enemy,Run,Gen,Mean_fit,Max_fit
ea10,3,0,0,0.5070163161737637,56.77346333071253
ea10,3,0,1,7.375803406155359,65.73850831567896
ea10,3,0,2,16.2582162368396,85.83879267830493
ea10,3,0,3,25.611878200584943,85.83879267830493
ea10,3,0,4,31.587699689647728,85.83879267830493
ea10,3,0,5,31.519673721544702,85.83879267830493
ea10,3,0,6,36.5293979733776,89.63899466037672
ea10,3,0,7,40.7143003740987,89.63899466037672
ea10,3,0,8,47.19886026568179,89.63899466037672
ea10,3,0,9,49.830954154026855,89.63899466037672
ea10,3,0,10,51.01302447919615,89.84302101441445
ea10,3,0,11,51.51191103937816,89.84302101441445
ea10,3,0,12,51.37943983083181,91.19858512203884
ea10,3,0,13,55.00122731102893,91.19858512203884
ea10,3,0,14,54.69793852144295,91.19858512203884
ea10,3,0,15,58.55339724933638,91.19858512203884
ea10,3,0,16,55.57580519656096,91.19858512203884
ea10,3,0,17,57.21628169112128,91.19858512203884
ea10,3,0,18,57.69639381126942,91.19858512203884
ea10,3,0,19,58.9165211743823,91.19858512203884
ea10,3,0,20,62.608015142686334,91.19858512203884
ea10,3,0,21,63.02862675116782,91.19858512203884
ea10,3,0,22,62.67634917150155,91.19858512203884
ea10,3,0,23,59.78828036725232,91.19858512203884
ea10,3,0,24,61.66054483679986,91.19858512203884
ea10,3,0,25,64.82110559607521,91.19858512203884
ea10,3,0,26,63.83262233668307,91.19858512203884
ea10,3,0,27,64.14032086645288,91.19858512203884
ea10,3,0,28,63.83142117002171,91.19858512203884
ea10,3,0,29,64.18342788519186,91.19858512203884
ea10,3,0,30,65.91490631801327,91.19858512203884
ea10,3,0,31,66.46312844446582,91.19858512203884
ea10,3,0,32,66.56921893097918,91.19858512203884
ea10,3,0,33,66.65686292614315,91.19858512203884
ea10,3,0,34,68.6166762937881,91.19858512203884
ea10,3,0,35,66.76818126218865,91.19858512203884
ea10,3,0,36,67.89249299649153,91.19858512203884
ea10,3,0,37,67.43975151174376,91.19858512203884
ea10,3,0,38,66.98349928740048,91.19858512203884
ea10,3,0,39,67.20270283672404,91.19858512203884
ea10,3,0,40,67.58017409327023,91.19858512203884
ea10,3,0,41,68.20192079146669,91.19858512203884
ea10,3,0,42,67.97964464634796,91.19858512203884
ea10,3,0,43,70.06748953415472,91.19858512203884
ea10,3,0,44,68.02949911947273,91.19858512203884
ea10,3,0,45,65.21869376446887,91.19858512203884
ea10,3,0,46,70.31366862247174,91.19858512203884
ea10,3,0,47,68.46477162647489,91.19858512203884
ea10,3,0,48,73.13970511906898,91.19858512203884
ea10,3,0,49,71.25803571972494,91.19858512203884
ea10,3,1,0,1.2440992019844344,56.77346333071253
ea10,3,1,1,8.457869698138039,56.77346333071253
ea10,3,1,2,18.300275259457752,65.78739390424847
ea10,3,1,3,25.20555941501097,83.99140997390337
ea10,3,1,4,30.63009219349398,83.99140997390337
ea10,3,1,5,33.7440484695476,83.99140997390337
ea10,3,1,6,37.074836953052575,83.99140997390337
ea10,3,1,7,42.15893622241344,85.98939992297535
ea10,3,1,8,45.53526499413992,85.98939992297535
ea10,3,1,9,48.4041153699047,85.98939992297535
ea10,3,1,10,55.3513895175054,85.98939992297535
ea10,3,1,11,54.556519008817205,85.98939992297535
ea10,3,1,12,56.79758032176768,85.98939992297535
ea10,3,1,13,54.273446941875335,85.98939992297535
ea10,3,1,14,51.92081813446669,85.98939992297535
ea10,3,1,15,55.338918704422525,86.81173587691741
ea10,3,1,16,54.6400897975458,86.81173587691741
ea10,3,1,17,55.56102616626074,86.81173587691741
