Exp_name,Enemy,Gen,Best,Mean,Std
neat,3,gen-0:,60.72395621057903,2.9272562908417807,14.08019930330822
neat,3,gen-1:,69.18171459359345,3.208572016539449,14.251521564299878
neat,3,gen-2:,75.23154239933419,3.006053062819667,14.361593316388088
neat,3,gen-3:,68.21028693815336,3.367356743577183,14.334073309015828
neat,3,gen-4:,65.8615785183483,3.0047466224217607,14.01866266624585
neat,3,gen-5:,71.34178878607003,2.8861078168592704,14.23550187549428
neat,3,gen-6:,72.93467586661339,3.241885288150992,14.513942875037564
neat,3,gen-7:,68.00889831620933,3.153703348355711,14.124713922445755
neat,3,gen-8:,76.01885063010647,3.2946359687344344,14.63337773972253
neat,3,gen-9:,66.97928185202265,2.917601273178519,13.761393437048053
neat,3,gen-10:,68.1310688129705,3.293249003173122,14.19058839819563
neat,3,gen-11:,66.43974631338666,2.927102154739657,13.934400066757709
neat,3,gen-12:,71.74831947028966,3.1944323015325664,14.456473659798617
neat,3,gen-13:,68.37037590657255,3.0764542196900804,14.198282546897598
neat,3,gen-14:,65.60394933688838,3.141435549280465,14.22008591768907
neat,3,gen-15:,68.57856911688722,2.9997919406811886,13.9886044304803
neat,3,gen-16:,66.47955937546514,3.399724022520603,14.421202810740876
neat,3,gen-17:,63.55038952674487,3.7126712917098295,14.530610663236248
neat,3,gen-18:,66.43223532929633,5.336783786966843,16.367776208130696
neat,3,gen-19:,67.64224199877225,7.356509064237418,16.85861450293033
neat,3,gen-20:,70.15532757881111,10.319189902472,18.135086918618185
neat,3,gen-21:,75.93627956964716,12.462888919406218,19.092307914517644
neat,3,gen-22:,74.2583344297397,15.97290827259825,19.65792938718306
neat,3,gen-23:,77.94875495040006,16.798377110631797,20.67284218018316
neat,3,gen-24:,82.35575721733895,19.26688789068073,21.59200411330155
neat,3,gen-25:,82.36120131211031,21.152687564268938,21.95467218525957
neat,3,gen-26:,82.9718892842878,23.99472824915739,22.08412125057824
neat,3,gen-27:,84.51695829146394,23.77313826590488,23.0523130120709
neat,3,gen-28:,85.56707101293023,26.741926962462024,23.57736271144247
neat,3,gen-29:,85.75153969395302,26.53129068713371,22.87579513312192
neat,3,gen-30:,87.58295088597941,28.60367484432463,23.680120489099465
neat,3,gen-31:,87.26184127165558,27.75767518953593,24.29347811561412
neat,3,gen-32:,85.83880217897854,29.71212829227436,24.740872909548663
neat,3,gen-33:,86.45793028498976,28.06105658644424,24.471125147044024
neat,3,gen-34:,87.09574517191923,29.720564665815925,25.109512889426387
neat,3,gen-35:,85.17641462472092,31.37934052087932,25.217838942649124
