Exp_name,Enemy,Run,Gen,Mean_fit,Max_fit
ea_fps,"[1, 2, 7]",0,0,-3.039432574236941,30.99991520194237
ea_fps,"[1, 2, 7]",0,1,1.241515512220125,37.77049969465433
ea_fps,"[1, 2, 7]",0,2,8.286369545113999,37.77049969465433
ea_fps,"[1, 2, 7]",0,3,10.185325723761103,37.77049969465433
ea_fps,"[1, 2, 7]",0,4,14.832066468970446,37.77049969465433
ea_fps,"[1, 2, 7]",0,5,18.00305426734124,38.57375025970477
ea_fps,"[1, 2, 7]",0,6,21.221951954104114,38.57375025970477
ea_fps,"[1, 2, 7]",0,7,26.23409607168596,40.013521072268986
ea_fps,"[1, 2, 7]",0,8,25.963588703601452,51.27233570153723
ea_fps,"[1, 2, 7]",0,9,28.698403943322873,51.27233570153723
ea_fps,"[1, 2, 7]",0,10,30.283997027957785,51.27233570153723
ea_fps,"[1, 2, 7]",0,11,31.52916363713076,51.27233570153723
ea_fps,"[1, 2, 7]",0,12,32.62836833967188,51.27233570153723
ea_fps,"[1, 2, 7]",0,13,32.99015217332819,51.27233570153723
ea_fps,"[1, 2, 7]",0,14,34.762143908649435,51.27233570153723
ea_fps,"[1, 2, 7]",0,15,32.82475483776622,51.27233570153723
ea_fps,"[1, 2, 7]",0,16,32.957348538444215,51.27233570153723
ea_fps,"[1, 2, 7]",0,17,33.155127294974754,51.27233570153723
ea_fps,"[1, 2, 7]",0,18,33.90392760467525,51.27233570153723
ea_fps,"[1, 2, 7]",0,19,32.667368338876365,51.27233570153723
ea_fps,"[1, 2, 7]",0,20,34.424992697488236,51.27233570153723
ea_fps,"[1, 2, 7]",0,21,34.921337342527565,51.27233570153723
ea_fps,"[1, 2, 7]",0,22,33.57877688656817,51.27233570153723
ea_fps,"[1, 2, 7]",0,23,33.677000633812035,51.27233570153723
ea_fps,"[1, 2, 7]",0,24,33.09789135477211,51.27233570153723
ea_fps,"[1, 2, 7]",0,25,32.3345246798715,51.27233570153723
ea_fps,"[1, 2, 7]",0,26,32.90162168564605,54.187652197720574
ea_fps,"[1, 2, 7]",0,27,34.46037240292347,54.187652197720574
ea_fps,"[1, 2, 7]",0,28,32.782603939494805,54.187652197720574
ea_fps,"[1, 2, 7]",0,29,33.32956835662246,54.187652197720574
ea_fps,"[1, 2, 7]",1,0,-1.7508139237953457,28.310609643848622
ea_fps,"[1, 2, 7]",1,1,0.5809680433036079,28.310609643848622
ea_fps,"[1, 2, 7]",1,2,3.4227280500106976,28.310609643848622
ea_fps,"[1, 2, 7]",1,3,5.663067169659681,28.310609643848622
ea_fps,"[1, 2, 7]",1,4,8.053103449485935,38.17858855691455
ea_fps,"[1, 2, 7]",1,5,13.11915549857662,38.17858855691455
ea_fps,"[1, 2, 7]",1,6,14.532532250713253,38.17858855691455
ea_fps,"[1, 2, 7]",1,7,18.080546609351682,38.17858855691455
ea_fps,"[1, 2, 7]",1,8,20.43902584148584,38.17858855691455
ea_fps,"[1, 2, 7]",1,9,23.848266497289455,38.17858855691455
ea_fps,"[1, 2, 7]",1,10,19.770781786198878,38.17858855691455
ea_fps,"[1, 2, 7]",1,11,21.537352206700074,38.17858855691455
ea_fps,"[1, 2, 7]",1,12,25.26831097877101,38.17858855691455
ea_fps,"[1, 2, 7]",1,13,25.282728337230807,38.17858855691455
ea_fps,"[1, 2, 7]",1,14,26.222238828062505,38.17858855691455
ea_fps,"[1, 2, 7]",1,15,26.75517155952866,38.17858855691455
ea_fps,"[1, 2, 7]",1,16,27.531699149510906,45.08017268655735
ea_fps,"[1, 2, 7]",1,17,29.661940053071316,45.08017268655735
ea_fps,"[1, 2, 7]",1,18,26.989521185615295,45.08017268655735
ea_fps,"[1, 2, 7]",1,19,29.54284748328338,45.08017268655735
ea_fps,"[1, 2, 7]",1,20,30.297885807242192,45.08017268655735
ea_fps,"[1, 2, 7]",1,21,27.829760059341606,45.08017268655735
ea_fps,"[1, 2, 7]",1,22,29.19900923016058,45.08017268655735
ea_fps,"[1, 2, 7]",1,23,29.517712473868123,45.08017268655735
ea_fps,"[1, 2, 7]",1,24,29.66618673614117,45.08017268655735
ea_fps,"[1, 2, 7]",1,25,29.958603954620298,45.08017268655735
ea_fps,"[1, 2, 7]",1,26,31.40084168284589,45.08017268655735
ea_fps,"[1, 2, 7]",1,27,31.734835656130336,57.74519030567153
ea_fps,"[1, 2, 7]",1,28,32.452944384177805,59.2869380954823
ea_fps,"[1, 2, 7]",1,29,33.709050642841504,59.2869380954823
ea_fps,"[1, 2, 7]",2,0,-3.1678911056393058,24.071757280820318
ea_fps,"[1, 2, 7]",2,1,-0.1932157094201856,30.999795175840855
ea_fps,"[1, 2, 7]",2,2,3.0795312359102875,30.999795175840855
ea_fps,"[1, 2, 7]",2,3,7.208956607833802,30.999795175840855
ea_fps,"[1, 2, 7]",2,4,12.922007554804193,44.69678354852772
ea_fps,"[1, 2, 7]",2,5,18.774043681593284,44.69678354852772
ea_fps,"[1, 2, 7]",2,6,21.876372574241906,44.69678354852772
ea_fps,"[1, 2, 7]",2,7,24.164450273338765,44.69678354852772
ea_fps,"[1, 2, 7]",2,8,25.42400500041231,44.69678354852772
ea_fps,"[1, 2, 7]",2,9,26.867964513294126,44.69678354852772
ea_fps,"[1, 2, 7]",2,10,28.726790083979996,44.69678354852772
ea_fps,"[1, 2, 7]",2,11,29.038526798613237,44.69678354852772
ea_fps,"[1, 2, 7]",2,12,29.281925266338682,44.69678354852772
ea_fps,"[1, 2, 7]",2,13,28.283805231772945,44.69678354852772
ea_fps,"[1, 2, 7]",2,14,29.032491513936584,44.69678354852772
ea_fps,"[1, 2, 7]",2,15,29.299437533984488,44.69678354852772
ea_fps,"[1, 2, 7]",2,16,29.644723417242755,44.69678354852772
ea_fps,"[1, 2, 7]",2,17,28.8114355300158,44.69678354852772
ea_fps,"[1, 2, 7]",2,18,30.475394993403874,44.69678354852772
ea_fps,"[1, 2, 7]",2,19,30.504080918600792,44.69678354852772
ea_fps,"[1, 2, 7]",2,20,30.192745491471534,44.69678354852772
ea_fps,"[1, 2, 7]",2,21,30.897578941529765,44.69678354852772
ea_fps,"[1, 2, 7]",2,22,32.13677191002765,44.69678354852772
ea_fps,"[1, 2, 7]",2,23,29.943775249452433,44.69678354852772
ea_fps,"[1, 2, 7]",2,24,31.14466511844401,44.69678354852772
ea_fps,"[1, 2, 7]",2,25,30.247513982736436,44.69678354852772
ea_fps,"[1, 2, 7]",2,26,30.604176840998193,44.69678354852772
ea_fps,"[1, 2, 7]",2,27,29.026115680251138,44.69678354852772
ea_fps,"[1, 2, 7]",2,28,31.248082266292727,44.69678354852772
ea_fps,"[1, 2, 7]",2,29,28.59446042051026,44.69678354852772
ea_fps,"[1, 2, 7]",3,0,-4.628354230287813,23.804893344632063
ea_fps,"[1, 2, 7]",3,1,-3.2944201428389412,31.006550217437002
ea_fps,"[1, 2, 7]",3,2,0.14588950289311584,39.80023506209285
ea_fps,"[1, 2, 7]",3,3,1.5061797635216652,39.80023506209285
ea_fps,"[1, 2, 7]",3,4,3.4629693842240146,39.80023506209285
ea_fps,"[1, 2, 7]",3,5,9.034848768489605,39.80023506209285
ea_fps,"[1, 2, 7]",3,6,12.640634546942211,39.80023506209285
ea_fps,"[1, 2, 7]",3,7,16.929098837596285,44.78152091674155
ea_fps,"[1, 2, 7]",3,8,19.194218127685826,44.78152091674155
ea_fps,"[1, 2, 7]",3,9,21.070836839821226,44.78152091674155
ea_fps,"[1, 2, 7]",3,10,22.280753842592404,44.78152091674155
ea_fps,"[1, 2, 7]",3,11,24.9939247705944,44.78152091674155
ea_fps,"[1, 2, 7]",3,12,22.630133463735298,44.78152091674155
ea_fps,"[1, 2, 7]",3,13,26.739128479688237,44.78152091674155
ea_fps,"[1, 2, 7]",3,14,28.639839050368536,45.319638546240824
ea_fps,"[1, 2, 7]",3,15,28.873339513835784,45.319638546240824
ea_fps,"[1, 2, 7]",3,16,31.301096680500493,45.319638546240824
ea_fps,"[1, 2, 7]",3,17,29.280212616940887,45.319638546240824
ea_fps,"[1, 2, 7]",3,18,32.26126746713375,45.319638546240824
ea_fps,"[1, 2, 7]",3,19,33.68942659801071,45.319638546240824
ea_fps,"[1, 2, 7]",3,20,30.84322436786678,45.319638546240824
ea_fps,"[1, 2, 7]",3,21,33.33042064179082,45.319638546240824
ea_fps,"[1, 2, 7]",3,22,34.1770982543791,45.319638546240824
ea_fps,"[1, 2, 7]",3,23,33.95601562747065,45.319638546240824
ea_fps,"[1, 2, 7]",3,24,35.13673334902078,45.319638546240824
ea_fps,"[1, 2, 7]",3,25,33.54854076555923,45.319638546240824
ea_fps,"[1, 2, 7]",3,26,36.18936907225243,45.319638546240824
ea_fps,"[1, 2, 7]",3,27,35.425551320414634,45.319638546240824
ea_fps,"[1, 2, 7]",3,28,36.14127732230954,45.319638546240824
ea_fps,"[1, 2, 7]",3,29,34.87132236874928,45.319638546240824
ea_fps,"[1, 2, 7]",4,0,-2.405487343116811,28.219940269120144
ea_fps,"[1, 2, 7]",4,1,0.39216096370751563,28.219940269120144
ea_fps,"[1, 2, 7]",4,2,3.9983744181662346,28.219940269120144
ea_fps,"[1, 2, 7]",4,3,6.742747177010679,28.219940269120144
ea_fps,"[1, 2, 7]",4,4,10.206472946628267,30.621365262312978
ea_fps,"[1, 2, 7]",4,5,10.414690838656865,30.969017399051676
ea_fps,"[1, 2, 7]",4,6,12.383478715777233,37.90752923055055
ea_fps,"[1, 2, 7]",4,7,17.0673844426424,37.90752923055055
ea_fps,"[1, 2, 7]",4,8,19.305437936490236,37.90752923055055
ea_fps,"[1, 2, 7]",4,9,17.51583732909855,37.90752923055055
ea_fps,"[1, 2, 7]",4,10,21.655285211089623,37.90752923055055
ea_fps,"[1, 2, 7]",4,11,27.007813400153626,47.23931802506671
ea_fps,"[1, 2, 7]",4,12,27.975121846099764,47.23931802506671
ea_fps,"[1, 2, 7]",4,13,29.072249696773355,47.23931802506671
ea_fps,"[1, 2, 7]",4,14,28.476526125198223,47.23931802506671
ea_fps,"[1, 2, 7]",4,15,29.899217458659624,47.23931802506671
ea_fps,"[1, 2, 7]",4,16,30.799774908618005,47.23931802506671
ea_fps,"[1, 2, 7]",4,17,29.639631798179394,47.23931802506671
ea_fps,"[1, 2, 7]",4,18,31.67433043419518,47.23931802506671
ea_fps,"[1, 2, 7]",4,19,31.705456594312018,47.23931802506671
ea_fps,"[1, 2, 7]",4,20,30.40874761671932,47.23931802506671
ea_fps,"[1, 2, 7]",4,21,30.35700661025677,47.33422275671385
ea_fps,"[1, 2, 7]",4,22,26.836571230560224,47.33422275671385
ea_fps,"[1, 2, 7]",4,23,30.35920292819928,47.33422275671385
ea_fps,"[1, 2, 7]",4,24,32.05639915894082,47.33422275671385
ea_fps,"[1, 2, 7]",4,25,33.0904634018477,47.33422275671385
ea_fps,"[1, 2, 7]",4,26,32.94119496906496,47.33422275671385
ea_fps,"[1, 2, 7]",4,27,33.35215950140943,47.33422275671385
ea_fps,"[1, 2, 7]",4,28,33.204491164781736,47.33422275671385
ea_fps,"[1, 2, 7]",4,29,32.07711810838528,47.33422275671385
ea_fps,"[1, 2, 7]",5,0,-4.311196186911381,29.20281834916754
ea_fps,"[1, 2, 7]",5,1,-1.4924959290855,37.7376530780429
ea_fps,"[1, 2, 7]",5,2,2.430320912495597,37.7376530780429
ea_fps,"[1, 2, 7]",5,3,6.326504559832412,37.7376530780429
ea_fps,"[1, 2, 7]",5,4,9.256845354402879,37.7376530780429
ea_fps,"[1, 2, 7]",5,5,12.652662394621872,49.95096771840862
ea_fps,"[1, 2, 7]",5,6,18.319319354739285,49.95096771840862
ea_fps,"[1, 2, 7]",5,7,21.864705806403414,49.95096771840862
ea_fps,"[1, 2, 7]",5,8,23.354534543980318,49.95096771840862
ea_fps,"[1, 2, 7]",5,9,26.725962643879033,49.95096771840862
ea_fps,"[1, 2, 7]",5,10,27.089208009507114,49.95096771840862
ea_fps,"[1, 2, 7]",5,11,26.20387062536429,49.95096771840862
ea_fps,"[1, 2, 7]",5,12,26.753391841711082,49.95096771840862
ea_fps,"[1, 2, 7]",5,13,27.95847615744334,49.95096771840862
ea_fps,"[1, 2, 7]",5,14,24.70028447493743,49.95096771840862
ea_fps,"[1, 2, 7]",5,15,28.807725004475763,49.95096771840862
ea_fps,"[1, 2, 7]",5,16,29.533903377953003,49.95096771840862
ea_fps,"[1, 2, 7]",5,17,28.023636849170288,49.95096771840862
ea_fps,"[1, 2, 7]",5,18,30.190088076499418,49.95096771840862
ea_fps,"[1, 2, 7]",5,19,32.30723985867135,49.95096771840862
ea_fps,"[1, 2, 7]",5,20,31.403618519766226,49.95096771840862
ea_fps,"[1, 2, 7]",5,21,31.166356214071467,49.95096771840862
ea_fps,"[1, 2, 7]",5,22,30.894265842764806,49.95096771840862
ea_fps,"[1, 2, 7]",5,23,30.658440117087185,49.95096771840862
ea_fps,"[1, 2, 7]",5,24,31.173655472021142,49.95096771840862
ea_fps,"[1, 2, 7]",5,25,29.490527327899926,49.95096771840862
ea_fps,"[1, 2, 7]",5,26,29.626225671841688,49.95096771840862
ea_fps,"[1, 2, 7]",5,27,30.534179220944733,49.95096771840862
ea_fps,"[1, 2, 7]",5,28,30.483476183655508,49.95096771840862
ea_fps,"[1, 2, 7]",5,29,31.838303592845428,49.95096771840862
ea_fps,"[1, 2, 7]",6,0,-1.2650561842966805,37.542626438612054
ea_fps,"[1, 2, 7]",6,1,0.8980504217892954,37.542626438612054
ea_fps,"[1, 2, 7]",6,2,3.4892031782660284,37.542626438612054
ea_fps,"[1, 2, 7]",6,3,5.22749058847472,37.542626438612054
ea_fps,"[1, 2, 7]",6,4,8.947152170683538,37.542626438612054
ea_fps,"[1, 2, 7]",6,5,12.612900397960761,37.542626438612054
ea_fps,"[1, 2, 7]",6,6,16.941464520990017,37.542626438612054
ea_fps,"[1, 2, 7]",6,7,16.567161293349937,37.542626438612054
ea_fps,"[1, 2, 7]",6,8,18.548768962738684,37.542626438612054
ea_fps,"[1, 2, 7]",6,9,19.74558594442995,37.542626438612054
ea_fps,"[1, 2, 7]",6,10,20.331786670491216,37.542626438612054
ea_fps,"[1, 2, 7]",6,11,21.5860641971409,37.542626438612054
ea_fps,"[1, 2, 7]",6,12,21.651359662032124,37.542626438612054
ea_fps,"[1, 2, 7]",6,13,20.70817868777554,37.542626438612054
ea_fps,"[1, 2, 7]",6,14,21.862539137039544,37.542626438612054
ea_fps,"[1, 2, 7]",6,15,23.565936677280828,37.542626438612054
ea_fps,"[1, 2, 7]",6,16,24.31485033466099,37.542626438612054
ea_fps,"[1, 2, 7]",6,17,23.962217883051853,37.542626438612054
ea_fps,"[1, 2, 7]",6,18,23.871709521397964,37.542626438612054
ea_fps,"[1, 2, 7]",6,19,25.659848733132403,37.542626438612054
ea_fps,"[1, 2, 7]",6,20,26.755362976920832,37.542626438612054
ea_fps,"[1, 2, 7]",6,21,27.26139497404774,37.542626438612054
ea_fps,"[1, 2, 7]",6,22,27.870954047077507,37.542626438612054
ea_fps,"[1, 2, 7]",6,23,27.926515564247,37.542626438612054
ea_fps,"[1, 2, 7]",6,24,27.884889122324566,39.008694970181715
ea_fps,"[1, 2, 7]",6,25,29.756883549759788,39.008694970181715
ea_fps,"[1, 2, 7]",6,26,29.811523117519208,39.008694970181715
ea_fps,"[1, 2, 7]",6,27,29.284795455053818,39.008694970181715
ea_fps,"[1, 2, 7]",6,28,29.033661479451226,39.008694970181715
ea_fps,"[1, 2, 7]",6,29,28.571450858259755,39.008694970181715
ea_fps,"[1, 2, 7]",7,0,-3.8588844114371215,27.15168101401407
ea_fps,"[1, 2, 7]",7,1,-1.3502735975075817,27.15168101401407
ea_fps,"[1, 2, 7]",7,2,3.2819532872675667,33.02223853761661
ea_fps,"[1, 2, 7]",7,3,7.303586293495375,33.02223853761661
ea_fps,"[1, 2, 7]",7,4,11.055963822855393,33.02223853761661
ea_fps,"[1, 2, 7]",7,5,14.468972540613336,33.02223853761661
ea_fps,"[1, 2, 7]",7,6,21.56888448664903,44.689797401194944
ea_fps,"[1, 2, 7]",7,7,22.733399138889663,44.689797401194944
ea_fps,"[1, 2, 7]",7,8,23.420669616767356,44.689797401194944
ea_fps,"[1, 2, 7]",7,9,23.915425228225427,44.689797401194944
ea_fps,"[1, 2, 7]",7,10,24.660085111649288,44.689797401194944
ea_fps,"[1, 2, 7]",7,11,23.58811386749138,44.689797401194944
ea_fps,"[1, 2, 7]",7,12,25.540938205757595,44.689797401194944
ea_fps,"[1, 2, 7]",7,13,25.553122617507274,44.689797401194944
ea_fps,"[1, 2, 7]",7,14,25.527806144144687,50.045048080381065
ea_fps,"[1, 2, 7]",7,15,25.878186636199054,50.045048080381065
ea_fps,"[1, 2, 7]",7,16,27.084083532946,50.045048080381065
ea_fps,"[1, 2, 7]",7,17,27.419638880604147,50.045048080381065
ea_fps,"[1, 2, 7]",7,18,28.06137314384557,50.045048080381065
ea_fps,"[1, 2, 7]",7,19,28.93207785229392,50.045048080381065
ea_fps,"[1, 2, 7]",7,20,29.419210745918303,50.045048080381065
ea_fps,"[1, 2, 7]",7,21,29.732968062429947,50.045048080381065
ea_fps,"[1, 2, 7]",7,22,28.12724806051477,50.045048080381065
ea_fps,"[1, 2, 7]",7,23,28.378611280418895,50.045048080381065
ea_fps,"[1, 2, 7]",7,24,29.50144484313237,50.045048080381065
ea_fps,"[1, 2, 7]",7,25,30.188390079690976,50.045048080381065
ea_fps,"[1, 2, 7]",7,26,29.14127056936024,50.045048080381065
ea_fps,"[1, 2, 7]",7,27,30.05799010029965,50.045048080381065
ea_fps,"[1, 2, 7]",7,28,31.0023768669961,50.045048080381065
ea_fps,"[1, 2, 7]",7,29,29.97533705156407,50.045048080381065
ea_fps,"[1, 2, 7]",8,0,-1.886197879259026,30.995562501803416
ea_fps,"[1, 2, 7]",8,1,0.20759478813071744,30.995562501803416
ea_fps,"[1, 2, 7]",8,2,2.69761432392331,30.995562501803416
ea_fps,"[1, 2, 7]",8,3,4.619146364605563,30.995562501803416
ea_fps,"[1, 2, 7]",8,4,7.359268419150129,30.995562501803416
ea_fps,"[1, 2, 7]",8,5,9.660526129176258,30.999795175840855
ea_fps,"[1, 2, 7]",8,6,12.055840883018721,30.999795175840855
ea_fps,"[1, 2, 7]",8,7,13.663316679913088,30.99991520194237
ea_fps,"[1, 2, 7]",8,8,16.74722668557139,30.99991520194237
